countryCode	year	pctUsingInternet	GDPperCap	population	fertRate	lifeExpectMale	lifeExpectFem
AFG	1990	0	..	12249114	7.466	48.89	50.874
AFG	1991	..	..	12993657	7.479	49.638	51.667
AFG	1992	..	..	13981231	7.502	50.323	52.393
AFG	1993	..	..	15095099	7.535	50.941	53.051
AFG	1994	..	..	16172719	7.572	51.497	53.643
AFG	1995	..	..	17099541	7.606	51.999	54.179
AFG	1996	..	..	17822884	7.63	52.465	54.676
AFG	1997	..	..	18381605	7.635	52.918	55.156
AFG	1998	..	..	18863999	7.616	53.379	55.642
AFG	1999	..	..	19403676	7.569	53.861	56.145
AFG	2000	..	..	20093756	7.494	54.376	56.678
AFG	2001	0.00472256824217368	..	20966463	7.392	54.929	57.249
AFG	2002	0.00456139517022146	364.570572951991	21979923	7.271	55.515	57.849
AFG	2003	0.0878912528559713	376.758714204473	23064851	7.136	56.121	58.468
AFG	2004	0.105809030021958	364.095436021804	24118979	6.988	56.74	59.1
AFG	2005	1.22414808372471	389.416357791097	25070798	6.827	57.359	59.73
AFG	2006	2.10712364546412	397.985904741902	25893450	6.651	57.964	60.346
AFG	2007	1.9	440.368155343632	26616792	6.46	58.543	60.933
AFG	2008	1.84	444.950137932355	27294031	6.254	59.086	61.486
AFG	2009	3.55	524.823533211573	28004331	6.038	59.589	61.999
AFG	2010	4	553.300289383064	28803167	5.816	60.054	62.476
AFG	2011	5	569.233387721432	29708599	5.595	60.484	62.924
AFG	2012	5.45454545454545	630.427412567377	30696958	5.38	60.892	63.354
AFG	2013	5.9	633.658411271767	31731688	5.174	61.286	63.778
AFG	2014	7	630.320014012209	32758020	4.981	61.67	64.197
AFG	2015	8.26	620.05652498092	33736494	4.802	62.046	64.613
ALB	1990	0	1947.8835449081	3286542	2.978	69.07	74.992
ALB	1991	..	1379.8169783237	3266790	2.905	69.017	74.981
ALB	1992	..	1288.25896491087	3247039	2.829	68.997	74.985
ALB	1993	..	1420.57328795871	3227287	2.751	69.037	75.039
ALB	1994	..	1547.95435292012	3207536	2.672	69.15	75.158
ALB	1995	0.011168695486794	1764.69929632752	3187784	2.591	69.347	75.352
ALB	1996	0.0321968282260578	1937.29007198088	3168033	2.507	69.631	75.618
ALB	1997	0.0485939187626304	1738.16646043428	3148281	2.422	69.982	75.931
ALB	1998	0.0650273700200414	1906.71726144226	3128530	2.334	70.376	76.269
ALB	1999	0.0814370446040466	2177.89663307357	3108778	2.246	70.797	76.616
ALB	2000	0.114097346552109	2337.9423863713	3089027	2.157	71.215	76.953
ALB	2001	0.325798377067964	2547.37731608619	3060173	2.068	71.6	77.264
ALB	2002	0.39008127343332	2663.14047692587	3051010	1.981	71.937	77.541
ALB	2003	0.971900415195857	2827.45577750698	3039616	1.897	72.223	77.782
ALB	2004	2.42038779776014	3001.40861793158	3026939	1.821	72.461	77.988
ALB	2005	6.04389086404814	3189.39511117692	3011487	1.754	72.678	78.17
ALB	2006	9.60999131577118	3383.89372561197	2992547	1.703	72.911	78.344
ALB	2007	15.0361154084109	3610.72755370642	2970017	1.668	73.192	78.528
ALB	2008	23.86	3775.38098775973	2947314	1.65	73.539	78.733
ALB	2009	41.2	3928.33863824236	2927519	1.646	73.95	78.962
ALB	2010	45	4094.35883191918	2913021	1.653	74.404	79.209
ALB	2011	49	4210.08219850607	2905195	1.668	74.867	79.462
ALB	2012	54.6559590399494	4276.92155019231	2900401	1.685	75.299	79.705
ALB	2013	57.2	4327.64451802716	2895092	1.7	75.671	79.927
ALB	2014	60.1	4413.56158290959	2889104	1.71	75.974	80.124
ALB	2015	63.252932696931	4524.64443153606	2880703	1.714	76.209	80.297
DZA	1990	0	3550.03267154172	25912367	4.726	65.194	68.267
DZA	1991	..	3422.63861820934	26554329	4.479	65.435	68.551
DZA	1992	..	3403.90345222401	27181094	4.223	65.667	68.811
DZA	1993	..	3259.84367977166	27786259	3.962	65.925	69.073
DZA	1994	0.000360673567987076	3164.8985771543	28362253	3.702	66.23	69.357
DZA	1995	0.00176895401501439	3223.55756040321	28904298	3.448	66.593	69.679
DZA	1996	0.00173853322594298	3297.86337455833	29411415	3.208	67.012	70.044
DZA	1997	0.010268463150268	3281.10213909542	29886839	2.988	67.463	70.439
DZA	1998	0.0202385545408469	3397.41019779189	30335732	2.796	67.93	70.856
DZA	1999	0.199523842999477	3457.13704649758	30765613	2.635	68.406	71.293
DZA	2000	0.491705679141589	3541.07203679729	31183660	2.514	68.893	71.748
DZA	2001	0.646114016703792	3600.4372541096	31592153	2.438	69.393	72.22
DZA	2002	1.59164126035832	3754.51627515001	31995046	2.403	69.906	72.703
DZA	2003	2.19535973086144	3974.17503202226	32403514	2.405	70.427	73.189
DZA	2004	4.63447508776537	4091.1442350798	32831096	2.438	70.949	73.669
DZA	2005	5.84394209201256	4273.31275146765	33288437	2.497	71.458	74.13
DZA	2006	7.37598495634886	4282.32823091748	33777915	2.575	71.942	74.561
DZA	2007	9.45119062555304	4359.37574752245	34300076	2.662	72.391	74.957
DZA	2008	10.18	4390.49963275957	34860715	2.749	72.798	75.314
