countryCode	year	sex	laborForcePartipation	pctAdvancedEdu	pctBasicEdu	lifeExpect	literacyRate
AFG	1990	Female	14.7849998474121	..	..	50.874	..
AFG	1991	Female	14.8509998321533	..	..	51.667	..
AFG	1992	Female	14.9090003967285	..	..	52.393	..
AFG	1993	Female	14.9169998168945	..	..	53.051	..
AFG	1994	Female	14.9119997024536	..	..	53.643	..
AFG	1995	Female	14.9659996032715	..	..	54.179	..
AFG	1996	Female	14.8039999008179	..	..	54.676	..
AFG	1997	Female	14.6619997024536	..	..	55.156	..
AFG	1998	Female	14.5740003585815	..	..	55.642	..
AFG	1999	Female	14.5319995880127	..	..	56.145	..
AFG	2000	Female	14.5089998245239	..	..	56.678	..
AFG	2001	Female	14.8159999847412	..	..	57.249	..
AFG	2002	Female	15.1770000457764	..	..	57.849	..
AFG	2003	Female	15.5329999923706	..	..	58.468	..
AFG	2004	Female	15.8470001220703	..	..	59.1	..
AFG	2005	Female	16.1110000610352	..	..	59.73	..
AFG	2006	Female	15.6549997329712	..	..	60.346	..
AFG	2007	Female	15.2209997177124	..	..	60.933	..
AFG	2008	Female	14.8769998550415	..	..	61.486	..
AFG	2009	Female	14.6940002441406	..	..	61.999	..
AFG	2010	Female	14.7089996337891	..	..	62.476	..
AFG	2011	Female	15.2580003738403	..	..	62.924	17.612060546875
AFG	2012	Female	15.9919996261597	..	..	63.354	..
AFG	2013	Female	16.8589992523193	..	..	63.778	..
AFG	2014	Female	17.7859992980957	..	..	64.197	..
AFG	2015	Female	18.7169990539551	..	..	64.613	..
AFG	2016	Female	19.4190006256104	..	..	65.024	..
ALB	1990	Female	53.5900001525879	..	..	74.992	..
ALB	1991	Female	55.7809982299805	..	..	74.981	..
ALB	1992	Female	56.0970001220703	..	..	74.985	..
ALB	1993	Female	55.2809982299805	..	..	75.039	..
ALB	1994	Female	54.5349998474121	..	..	75.158	..
ALB	1995	Female	53.5019989013672	..	..	75.352	..
ALB	1996	Female	52.9070014953613	..	..	75.618	..
ALB	1997	Female	53.5610008239746	..	..	75.931	..
ALB	1998	Female	52.9780006408691	..	..	76.269	..
ALB	1999	Female	52.1650009155273	..	..	76.616	..
ALB	2000	Female	51.7179985046387	..	..	76.953	..
ALB	2001	Female	51.0950012207031	..	..	77.264	98.2522735595703
ALB	2002	Female	50.6790008544922	..	..	77.541	..
ALB	2003	Female	49.7589988708496	..	..	77.782	..
ALB	2004	Female	48.8779983520508	..	..	77.988	..
ALB	2005	Female	48.0509986877441	..	..	78.17	..
ALB	2006	Female	47.3889999389648	..	..	78.344	..
ALB	2007	Female	46.8030014038086	77.1728973388672	54.0663986206055	78.528	..
ALB	2008	Female	46.2690010070801	75.356201171875	56.2799987792969	78.733	94.6818084716797
ALB	2009	Female	44.9449996948242	78.8041000366211	59.3305015563965	78.962	..
ALB	2010	Female	45.693000793457	77.5735015869141	59.8919982910156	79.209	..
ALB	2011	Female	47.1040000915527	74.7473983764648	61.9471015930176	79.462	95.6914825439453
ALB	2012	Female	48.8059997558594	71.7534027099609	59.907600402832	79.705	96.1360702514648
ALB	2013	Female	44.6500015258789	72.9356002807617	55.5238990783691	79.927	..
ALB	2014	Female	44.7890014648438	73.3300018310547	62.3499984741211	80.124	..
ALB	2015	Female	47.6759986877441	74.2099990844727	63.25	80.297	..
ALB	2016	Female	47.4389991760254	..	..	80.451	..
DZA	1990	Female	11.496000289917	..	..	68.267	..
DZA	1991	Female	11.5349998474121	..	..	68.551	..
DZA	1992	Female	11.581000328064	..	..	68.811	..
DZA	1993	Female	11.6470003128052	..	..	69.073	..
DZA	1994	Female	11.7239999771118	..	..	69.357	..
DZA	1995	Female	11.8039999008179	..	..	69.679	..
DZA	1996	Female	11.8669996261597	..	..	70.044	..
DZA	1997	Female	11.8129997253418	..	..	70.439	..
DZA	1998	Female	11.798999786377	..	..	70.856	..
DZA	1999	Female	11.8249998092651	..	..	71.293	..
DZA	2000	Female	11.8929996490479	..	..	71.748	..
DZA	2001	Female	12.0069999694824	..	..	72.22	..
DZA	2002	Female	12.1619997024536	..	..	72.703	60.075080871582
DZA	2003	Female	12.3549995422363	..	..	73.189	..
DZA	2004	Female	12.5830001831055	..	..	73.669	..
DZA	2005	Female	12.8430004119873	..	..	74.13	..
DZA	2006	Female	13.1330003738403	..	..	74.561	63.9187889099121
DZA	2007	Female	13.4549999237061	..	..	74.957	..
DZA	2008	Female	13.8120002746582	..	..	75.314	67.5487518310547
DZA	2009	Female	14.206000328064	..	..	75.634	..
DZA	2010	Female	14.378999710083	..	..	75.918	..
DZA	2011	Female	15.2390003204346	..	..	76.174	..
DZA	2012	Female	16.1569995880127	..	..	76.412	..
DZA	2013	Female	16.8819999694824	..	..	76.644	..
DZA	2014	Female	15.3400001525879	..	..	76.873	..
DZA	2015	Female	15.2370004653931	..	..	77.103	..
DZA	2016	Female	15.125	..	..	77.333	..
ASM	1990	Female	..	..	..	..	..
ASM	1991	Female	..	..	..	..	..
ASM	1992	Female	..	..	..	..	..
ASM	1993	Female	..	..	..	..	..
ASM	1994	Female	..	..	..	..	..
ASM	1995	Female	..	..	..	..	..
ASM	1996	Female	..	..	..	..	..
ASM	1997	Female	..	..	..	..	..
ASM	1998	Female	..	..	..	..	..
ASM	1999	Female	..	..	..	..	..
ASM	2000	Female	..	..	..	..	..
ASM	2001	Female	..	..	..	..	..
ASM	2002	Female	..	..	..	..	..
ASM	2003	Female	..	..	..	..	..
ASM	2004	Female	..	..	..	..	..
ASM	2005	Female	..	..	..	..	..
ASM	2006	Female	..	..	..	..	..
