Reference area,Sex,Occupation,Time,U.S. dollars
Afghanistan,Total,Total,2014,155
Afghanistan,Total,1. Managers,2014,306
Afghanistan,Total,2. Professionals,2014,181
Afghanistan,Total,3. Technicians and associate professionals,2014,242
Afghanistan,Total,4. Clerical support workers,2014,269
Afghanistan,Total,5. Service and sales workers,2014,204
Afghanistan,Total,"6. Skilled agricultural, forestry and fishery workers",2014,96
Afghanistan,Total,7. Craft and related trades workers,2014,101
Afghanistan,Total,"8. Plant and machine operators, and assemblers",2014,181
Afghanistan,Total,9. Elementary occupations,2014,106
Afghanistan,Total,0. Armed forces occupations,2014,242
Afghanistan,Total,X. Not elsewhere classified,2014,197
Afghanistan,Male,Total,2014,160
Afghanistan,Male,1. Managers,2014,309
Afghanistan,Male,2. Professionals,2014,194
Afghanistan,Male,3. Technicians and associate professionals,2014,260
Afghanistan,Male,4. Clerical support workers,2014,273
Afghanistan,Male,5. Service and sales workers,2014,206
Afghanistan,Male,"6. Skilled agricultural, forestry and fishery workers",2014,97
Afghanistan,Male,7. Craft and related trades workers,2014,135
Afghanistan,Male,"8. Plant and machine operators, and assemblers",2014,181
Afghanistan,Male,9. Elementary occupations,2014,107
Afghanistan,Male,0. Armed forces occupations,2014,242
Afghanistan,Male,X. Not elsewhere classified,2014,208
Afghanistan,Female,Total,2014,93
Afghanistan,Female,1. Managers,2014,257
Afghanistan,Female,2. Professionals,2014,136
Afghanistan,Female,3. Technicians and associate professionals,2014,159
Afghanistan,Female,4. Clerical support workers,2014,219
Afghanistan,Female,5. Service and sales workers,2014,81
Afghanistan,Female,"6. Skilled agricultural, forestry and fishery workers",2014,83
Afghanistan,Female,7. Craft and related trades workers,2014,29
Afghanistan,Female,9. Elementary occupations,2014,71
Afghanistan,Female,X. Not elsewhere classified,2014,82
Afghanistan,Total,Total,2020,172
Afghanistan,Total,1. Managers,2020,239
Afghanistan,Total,2. Professionals,2020,162
Afghanistan,Total,3. Technicians and associate professionals,2020,167
Afghanistan,Total,4. Clerical support workers,2020,209
Afghanistan,Total,5. Service and sales workers,2020,144
Afghanistan,Total,"6. Skilled agricultural, forestry and fishery workers",2020,138
Afghanistan,Total,7. Craft and related trades workers,2020,112
Afghanistan,Total,"8. Plant and machine operators, and assemblers",2020,167
Afghanistan,Total,9. Elementary occupations,2020,112
Afghanistan,Total,0. Armed forces occupations,2020,200
