sectorID	countryCode	year	sex	monthlyEarnings
Total	AFG	2014	Male	160
1. Managers	AFG	2014	Male	309
2. Professionals	AFG	2014	Male	194
3. Technicians and associate professionals	AFG	2014	Male	260
4. Clerical support workers	AFG	2014	Male	273
3. Technicians and associate professionals	AFG	2020	Male	163
4. Clerical support workers	AFG	2020	Male	210
5. Service and sales workers	AFG	2020	Male	142
7. Craft and related trades workers	AFG	2020	Male	112
2. Professionals	AFG	2014	Female	136
8. Plant and machine operators, and assemblers	AFG	2020	Male	167
5. Service and sales workers	AFG	2014	Male	206
Total	AFG	2020	Male	175
X. Not elsewhere classified	AFG	2014	Female	82
2. Professionals	AFG	2020	Male	179
X. Not elsewhere classified	AFG	2014	Male	208
Total	AFG	2014	Female	93
6. Skilled agricultural, forestry and fishery workers	AFG	2020	Male	140
1. Managers	AFG	2014	Female	257
0. Armed forces occupations	AFG	2020	Female	256
3. Technicians and associate professionals	AFG	2014	Female	159
9. Elementary occupations	AFG	2020	Male	113
6. Skilled agricultural, forestry and fishery workers	AFG	2014	Male	97
X. Not elsewhere classified	AFG	2020	Male	291
7. Craft and related trades workers	AFG	2014	Male	135
8. Plant and machine operators, and assemblers	AFG	2014	Male	181
1. Managers	AFG	2020	Male	241
0. Armed forces occupations	AFG	2014	Male	242
4. Clerical support workers	AFG	2020	Female	207
5. Service and sales workers	AFG	2020	Female	186
7. Craft and related trades workers	AFG	2020	Female	112
9. Elementary occupations	AFG	2020	Female	100
5. Service and sales workers	AFG	2014	Female	81
6. Skilled agricultural, forestry and fishery workers	AFG	2014	Female	83
7. Craft and related trades workers	AFG	2014	Female	29
0. Armed forces occupations	AFG	2020	Male	200
3. Technicians and associate professionals	AFG	2020	Female	220
2. Professionals	AFG	2020	Female	118
9. Elementary occupations	AFG	2014	Male	107
9. Elementary occupations	AFG	2014	Female	71
4. Clerical support workers	AFG	2014	Female	219
Total	AFG	2020	Female	141
1. Managers	AFG	2020	Female	188
8. Plant and machine operators, and assemblers	ALB	2012	Male	3498
2. Professionals	ALB	2012	Male	4301
6. Skilled agricultural, forestry and fishery workers	ALB	2012	Male	2275
1. Managers	ALB	2015	Female	834
3. Technicians and associate professionals	ALB	2012	Male	3943
4. Clerical support workers	ALB	2012	Male	3925
7. Craft and related trades workers	ALB	2012	Male	3076
Total	ALB	2012	Female	2959
2. Professionals	ALB	2015	Female	508
3. Technicians and associate professionals	ALB	2015	Female	381
5. Service and sales workers	ALB	2012	Male	2646
1. Managers	ALB	2012	Male	5814
5. Service and sales workers	ALB	2012	Female	2322
6. Skilled agricultural, forestry and fishery workers	ALB	2012	Female	2039
Total	ALB	2012	Male	3426
8. Plant and machine operators, and assemblers	ALB	2012	Female	1744
Total	ALB	2015	Female	358
7. Craft and related trades workers	ALB	2012	Female	1938
9. Elementary occupations	ALB	2012	Male	2904
1. Managers	ALB	2012	Female	5508
4. Clerical support workers	ALB	2012	Female	2844
7. Craft and related trades workers	ALB	2015	Male	264
8. Plant and machine operators, and assemblers	ALB	2015	Male	315
9. Elementary occupations	ALB	2015	Male	203
0. Armed forces occupations	ALB	2015	Male	455
9. Elementary occupations	ALB	2012	Female	1919
2. Professionals	ALB	2012	Female	3795
6. Skilled agricultural, forestry and fishery workers	ALB	2015	Male	191
3. Technicians and associate professionals	ALB	2012	Female	3237
6. Skilled agricultural, forestry and fishery workers	ALB	2017	Female	237
7. Craft and related trades workers	ALB	2017	Female	228
8. Plant and machine operators, and assemblers	ALB	2017	Female	234
9. Elementary occupations	ALB	2017	Female	232
0. Armed forces occupations	ALB	2017	Female	488
X. Not elsewhere classified	ALB	2017	Female	0
Total	ALB	2018	Male	492
1. Managers	ALB	2018	Male	920
2. Professionals	ALB	2018	Male	730
3. Technicians and associate professionals	ALB	2018	Male	555
4. Clerical support workers	ALB	2018	Male	485
5. Service and sales workers	ALB	2018	Male	383
6. Skilled agricultural, forestry and fishery workers	ALB	2018	Male	293
Total	ALB	2019	Female	450
1. Managers	ALB	2019	Female	895
2. Professionals	ALB	2019	Female	588
3. Technicians and associate professionals	ALB	2019	Female	488
8. Plant and machine operators, and assemblers	ALB	2017	Male	330
9. Elementary occupations	ALB	2017	Male	250
0. Armed forces occupations	ALB	2017	Male	488
Total	ALB	2015	Male	384
1. Managers	ALB	2015	Male	709
2. Professionals	ALB	2015	Male	560
3. Technicians and associate professionals	ALB	2015	Male	411
4. Clerical support workers	ALB	2015	Male	356
5. Service and sales workers	ALB	2015	Male	292
X. Not elsewhere classified	ALB	2018	Female	0
Total	ALB	2019	Male	500
1. Managers	ALB	2019	Male	882
2. Professionals	ALB	2019	Male	742
3. Technicians and associate professionals	ALB	2019	Male	588
4. Clerical support workers	ALB	2019	Male	525
5. Service and sales workers	ALB	2019	Male	396
6. Skilled agricultural, forestry and fishery workers	ALB	2019	Male	302
7. Craft and related trades workers	ALB	2019	Male	361
8. Plant and machine operators, and assemblers	ALB	2019	Male	371
9. Elementary occupations	ALB	2019	Male	299
0. Armed forces occupations	ALB	2019	Male	573
X. Not elsewhere classified	ALB	2019	Male	0
7. Craft and related trades workers	ALB	2018	Male	361
X. Not elsewhere classified	ALB	2017	Male	0
Total	ALB	2017	Female	386
1. Managers	ALB	2017	Female	800
2. Professionals	ALB	2017	Female	503
3. Technicians and associate professionals	ALB	2017	Female	424
4. Clerical support workers	ALB	2017	Female	429
5. Service and sales workers	ALB	2017	Female	268
0. Armed forces occupations	ALB	2018	Female	539
4. Clerical support workers	ALB	2016	Female	392
5. Service and sales workers	ALB	2016	Female	240
6. Skilled agricultural, forestry and fishery workers	ALB	2016	Female	213
7. Craft and related trades workers	ALB	2016	Female	207
8. Plant and machine operators, and assemblers	ALB	2016	Female	212
4. Clerical support workers	ALB	2015	Female	377
5. Service and sales workers	ALB	2015	Female	235
6. Skilled agricultural, forestry and fishery workers	ALB	2015	Female	166
7. Craft and related trades workers	ALB	2015	Female	262
8. Plant and machine operators, and assemblers	ALB	2015	Female	237
9. Elementary occupations	ALB	2015	Female	195
0. Armed forces occupations	ALB	2015	Female	407
1. Managers	ALB	2017	Male	801
Total	ALB	2016	Male	403
1. Managers	ALB	2016	Male	780
2. Professionals	ALB	2016	Male	618
3. Technicians and associate professionals	ALB	2016	Male	443
4. Clerical support workers	ALB	2016	Male	375
5. Service and sales workers	ALB	2018	Female	301
6. Skilled agricultural, forestry and fishery workers	ALB	2018	Female	270
7. Craft and related trades workers	ALB	2018	Female	263
8. Plant and machine operators, and assemblers	ALB	2018	Female	271
9. Elementary occupations	ALB	2018	Female	268
0. Armed forces occupations	ALB	2016	Male	435
X. Not elsewhere classified	ALB	2016	Male	0
Total	ALB	2016	Female	357
1. Managers	ALB	2016	Female	755
2. Professionals	ALB	2016	Female	465
3. Technicians and associate professionals	ALB	2016	Female	388
6. Skilled agricultural, forestry and fishery workers	ALB	2020	Male	311
9. Elementary occupations	ALB	2016	Female	209
0. Armed forces occupations	ALB	2016	Female	437
X. Not elsewhere classified	ALB	2016	Female	0
4. Clerical support workers	ALB	2020	Male	549
5. Service and sales workers	ALB	2020	Male	413
9. Elementary occupations	ALB	2020	Female	283
0. Armed forces occupations	ALB	2020	Female	575
X. Not elsewhere classified	ALB	2020	Female	0
4. Clerical support workers	ALB	2018	Female	496
2. Professionals	ALB	2017	Male	652
3. Technicians and associate professionals	ALB	2017	Male	475
4. Clerical support workers	ALB	2017	Male	423
5. Service and sales workers	ALB	2017	Male	337
6. Skilled agricultural, forestry and fishery workers	ALB	2017	Male	256
7. Craft and related trades workers	ALB	2017	Male	316
8. Plant and machine operators, and assemblers	ALB	2020	Female	288
Total	ALB	2018	Female	440
1. Managers	ALB	2018	Female	911
7. Craft and related trades workers	ALB	2020	Male	367
8. Plant and machine operators, and assemblers	ALB	2020	Male	374
9. Elementary occupations	ALB	2019	Female	276
0. Armed forces occupations	ALB	2019	Female	555
X. Not elsewhere classified	ALB	2019	Female	0
9. Elementary occupations	ALB	2016	Male	225
Total	ALB	2020	Male	509
1. Managers	ALB	2020	Male	874
2. Professionals	ALB	2020	Male	748
3. Technicians and associate professionals	ALB	2020	Male	585
X. Not elsewhere classified	ALB	2018	Male	0
6. Skilled agricultural, forestry and fishery workers	ALB	2020	Female	281
4. Clerical support workers	ALB	2019	Female	498
2. Professionals	ALB	2018	Female	571
3. Technicians and associate professionals	ALB	2018	Female	484
9. Elementary occupations	ALB	2020	Male	302
0. Armed forces occupations	ALB	2020	Male	590
X. Not elsewhere classified	ALB	2020	Male	0
Total	ALB	2017	Male	432
2. Professionals	ALB	2020	Female	612
8. Plant and machine operators, and assemblers	ALB	2018	Male	374
9. Elementary occupations	ALB	2018	Male	292
0. Armed forces occupations	ALB	2018	Male	551
5. Service and sales workers	ALB	2020	Female	314
8. Plant and machine operators, and assemblers	ALB	2019	Female	281
6. Skilled agricultural, forestry and fishery workers	ALB	2016	Male	227
5. Service and sales workers	ALB	2019	Female	304
6. Skilled agricultural, forestry and fishery workers	ALB	2019	Female	281
Total	ALB	2020	Female	476
1. Managers	ALB	2020	Female	897
7. Craft and related trades workers	ALB	2016	Male	281
8. Plant and machine operators, and assemblers	ALB	2016	Male	296
7. Craft and related trades workers	ALB	2019	Female	274
3. Technicians and associate professionals	ALB	2020	Female	513
4. Clerical support workers	ALB	2020	Female	521
5. Service and sales workers	ALB	2016	Male	307
7. Craft and related trades workers	ALB	2020	Female	283
X. Not elsewhere classified	ARG	2011	Male	1065
9. Elementary occupations	ARG	2013	Female	380
X. Not elsewhere classified	ARG	2013	Female	1140
4. Clerical support workers	ARG	2014	Male	985
5. Service and sales workers	ARG	2014	Male	830
6. Skilled agricultural, forestry and fishery workers	ARG	2014	Male	630
1. Managers	ARG	2011	Female	1355
2. Professionals	ARG	2011	Female	886
6. Skilled agricultural, forestry and fishery workers	ARG	2019	Female	406
7. Craft and related trades workers	ARG	2019	Female	425
