"sectorID"	"countryName"	"year"	"sex"	"monthlyEarnings"
"2. Professionals"	"Afghanistan"	2014	"Total"	181
"Total"	"Afghanistan"	2014	"Total"	155
"6. Skilled agricultural, forestry and fishery workers"	"Afghanistan"	2020	"Total"	138
"1. Managers"	"Afghanistan"	2014	"Total"	306
"Total"	"Afghanistan"	2014	"Male"	160
"1. Managers"	"Afghanistan"	2014	"Male"	309
"4. Clerical support workers"	"Afghanistan"	2014	"Total"	269
"8. Plant and machine operators, and assemblers"	"Afghanistan"	2020	"Total"	167
"9. Elementary occupations"	"Afghanistan"	2020	"Total"	112
"2. Professionals"	"Afghanistan"	2014	"Male"	194
"X. Not elsewhere classified"	"Afghanistan"	2014	"Total"	197
"Total"	"Afghanistan"	2020	"Total"	172
"1. Managers"	"Afghanistan"	2020	"Total"	239
"0. Armed forces occupations"	"Afghanistan"	2020	"Total"	200
"3. Technicians and associate professionals"	"Afghanistan"	2014	"Total"	242
"7. Craft and related trades workers"	"Afghanistan"	2020	"Total"	112
"5. Service and sales workers"	"Afghanistan"	2020	"Total"	144
"2. Professionals"	"Afghanistan"	2020	"Total"	162
"3. Technicians and associate professionals"	"Afghanistan"	2020	"Total"	167
"5. Service and sales workers"	"Afghanistan"	2014	"Total"	204
"6. Skilled agricultural, forestry and fishery workers"	"Afghanistan"	2014	"Total"	96
"3. Technicians and associate professionals"	"Afghanistan"	2014	"Male"	260
"4. Clerical support workers"	"Afghanistan"	2014	"Male"	273
"0. Armed forces occupations"	"Afghanistan"	2014	"Total"	242
"9. Elementary occupations"	"Afghanistan"	2014	"Total"	106
"3. Technicians and associate professionals"	"Afghanistan"	2020	"Male"	163
"4. Clerical support workers"	"Afghanistan"	2020	"Male"	210
"5. Service and sales workers"	"Afghanistan"	2020	"Male"	142
"4. Clerical support workers"	"Afghanistan"	2020	"Total"	209
"7. Craft and related trades workers"	"Afghanistan"	2020	"Male"	112
"2. Professionals"	"Afghanistan"	2014	"Female"	136
"8. Plant and machine operators, and assemblers"	"Afghanistan"	2020	"Male"	167
"5. Service and sales workers"	"Afghanistan"	2014	"Male"	206
"X. Not elsewhere classified"	"Afghanistan"	2020	"Total"	304
"Total"	"Afghanistan"	2020	"Male"	175
"7. Craft and related trades workers"	"Afghanistan"	2014	"Total"	101
